State Name,GENERAL Current Population,GENERAL Covered Population,Minority Current Population,Minority Covered Population,Total Current Population,Total Covered Population,gcg,mcm,tct
ANDHRA PRADESH,45366283.0,39013776.0,15910796.0,13335897.0,61277079.0,52349673.0,0.8599729451055093,0.8381665505610153,0.8543108427214685
ANDMAN and NICOBAR,211919.0,203648.0,30045.0,23350.0,241964.0,226998.0,0.9609709370089515,0.7771675819603927,0.9381478236431866
ARUNACHAL PRADESH,203555.0,162447.0,772085.0,549819.0,975640.0,712266.0,0.7980496671661221,0.7121223699463142,0.7300500184494281
ASSAM,20087771.0,14223863.0,6323553.0,4490115.0,26411324.0,18713978.0,0.7080856805864623,0.7100620489778452,0.7085588742162263
BIHAR,74727317.0,69343135.0,15688021.0,15073828.0,90415338.0,84416963.0,0.9279489453635811,0.9608495552115847,0.9336575504479119
CHANDIGARH,64696.0,64696.0,16701.0,16701.0,81397.0,81397.0,1.0,1.0,1.0
CHHATTISGARH,9181357.0,7856074.0,9168947.0,7695050.0,18350304.0,15551124.0,0.8556549974039785,0.8392512248134928,0.8474586579056129
DADRA & NAGAR HAVELI,38564.0,0.0,130100.0,0.0,168664.0,0.0,0.0,0.0,0.0
DAMAN & DIU,64772.0,0.0,13447.0,0.0,78219.0,0.0,0.0,0.0,0.0
GOA,742888.0,674124.0,12043.0,11303.0,754931.0,685427.0,0.9074369218509385,0.9385535165656398,0.9079333078122371
GUJARAT,25690280.0,25558284.0,10378101.0,10255829.0,36068381.0,35814113.0,0.994862025637712,0.9882182684481486,0.9929503905373518
HARYANA,13763699.0,13071772.0,3739647.0,3565638.0,17503346.0,16637410.0,0.949728121778891,0.9534691375950725,0.950527402017877
HIMACHAL PRADESH,4365593.0,3843173.0,1862861.0,1639780.0,6228454.0,5482953.0,0.8803324084494363,0.8802481774002462,0.880307215883749
JAMMU AND KASHMIR,8281355.0,5437665.0,1808555.0,1069597.0,10089910.0,6507262.0,0.6566153727258401,0.5914097165969517,0.6449276554498504
JHARKHAND,12120910.0,11947007.0,10844399.0,10633249.0,22965309.0,22580256.0,0.985652644892174,0.9805291192255099,0.9832332758945243
KARNATAKA,28156100.0,19816409.0,10191187.0,7232711.0,38347287.0,27049120.0,0.7038051789843054,0.709702510610393,0.705372455683762
KERALA,22302676.0,22298220.0,3170504.0,3168658.0,25473180.0,25466878.0,0.9998002033477956,0.9994177581860801,0.9997526025411825
LAKSHADWEEP,0.0,0.0,50947.0,0.0,50947.0,0.0,,0.0,0.0
MADHYA PRADESH,30920950.0,27564955.0,21806168.0,19152908.0,52727118.0,46717863.0,0.891465333374298,0.8783252518278315,0.886031036249696
MAHARASHTRA,49414034.0,43807438.0,15661984.0,14141971.0,65076018.0,57949409.0,0.8865383870501242,0.9029488856584198,0.890487936738846
MANIPUR,1053492.0,841790.0,1421528.0,1081809.0,2475020.0,1923599.0,0.7990473586890076,0.7610184252438221,0.7772054367237436
MEGHALAYA,103927.0,77573.0,2217933.0,1503759.0,2321860.0,1581332.0,0.7464181588999971,0.6780001920707253,0.681062596366706
MIZORAM,17427.0,14590.0,505116.0,451133.0,522543.0,465723.0,0.8372066333849774,0.8931275192233071,0.8912625372457387
NAGALAND,99970.0,80594.0,1658214.0,1403115.0,1758184.0,1483709.0,0.8061818545563669,0.8461603870188046,0.8438872154450273
ORISSA,20267673.0,15684813.0,14486010.0,11064722.0,34753683.0,26749535.0,0.7738832672107943,0.7638212316573024,0.7696892153847407
PUDUCHERRY,260945.0,260671.0,97470.0,97045.0,358415.0,357716.0,0.9989499703002549,0.995639684005335,0.9980497468018916
PUNJAB,12020319.0,11129168.0,6036444.0,5467556.0,18056763.0,16596724.0,0.9258629492278866,0.9057577606948727,0.9191417088433846
RAJASTHAN,34703454.0,25191885.0,17288460.0,13623255.0,51991914.0,38815140.0,0.7259186650412377,0.78799702229117,0.7465610902495338
SIKKIM,402401.0,335156.0,138447.0,123186.0,540848.0,458342.0,0.8328905743275986,0.889770092526382,0.8474506700588705
TAMIL NADU,26043047.0,24344533.0,8928388.0,8337597.0,34971435.0,32682130.0,0.9347805193455282,0.9338300486045186,0.934537859255704
TRIPURA,1225731.0,1040152.0,1587209.0,1149234.0,2812940.0,2189386.0,0.8485972860276847,0.7240596543996412,0.7783265906844796
UTTAR PRADESH,120200956.0,119544640.0,36841104.0,35832437.0,157042060.0,155377077.0,0.9945398437596453,0.9726211516354124,0.9893978530337669
UTTARAKHAND,5407824.0,4755306.0,1653566.0,1486845.0,7061390.0,6242151.0,0.8793381589341664,0.8991748741810124,0.8839833233966684
WEST BENGAL,49515909.0,46543800.0,25572398.0,24337063.0,75088307.0,70880863.0,0.9399766850690351,0.9516926414175159,0.9439667217427076
telangana,45366283.0,39013776.0,15910796.0,13335897.0,61277079.0,52349673.0,0.8599729451055093,0.8381665505610153,0.8543108427214685
delhi ncr,13763699.0,13071772.0,3739647.0,3565638.0,17503346.0,16637410.0,0.949728121778891,0.9534691375950725,0.950527402017877
